family_id,child_id,word_id_nr,word_id,word_hash,word_type_id,name,form,version,meaning,language,KEY-MEANING,NAME,HOMONYM,OVER-EXTENSION,CODER
301,684,2058,XQZ_WV37xpzJsTsW6yTna,L2WT4GUcoCpjmR9WYZibw,1,WORD,Kawa,0,Kawa,polski,COFFEE,,,,JB
301,684,2059,23YJQEtiQNph37DmBXsTl,iJdqSw8kvuwdbvsZD11TM,1,WORD,Ziaba,0,Żaba,polski,FROG,,,,AS(AW)
301,684,2060,O_wr7dFRwZFddpSdYp3bE,meDfdJtaQkGEJDjm_zjre,1,WORD,Amam,0,Jedzenie,polski,FOOD,,,,US
301,684,2061,fRTE1hee66-Zz3dFuMfBZ,ZKeHcxeOXUFyxjXP97XV0,1,WORD,Sapam,0,Samolot,polski,PLANE,,,,JS
301,684,2062,wNEsuUOSITV7cYyAvC8wd,x77FV9whA09-xSumr3TJF,1,WORD,Pan,0,Pan,polski,MAN,,,,US
301,684,2063,#NAME?,vTLK-HULjiJr1qf5edAT9,1,WORD,Dzidzia,0,Dziecko ,polski,BABY,,,,US
301,684,2064,4Bw3iVFg548v1rgKuwIdJ,RDg7Gpy_LUwoNNAB2KLnE,1,WORD,Tinta,0,Zegar ,polski,CLOCK,,,,AS(AW)
301,684,2065,MtrHqAPcFGc0GU0-jydXb,H8Ci_ZFugvl_97W-UuOWC,1,WORD,Kupa,0,Kupa,polski,POOP,,,,JB
301,684,2066,VPLXkX3YvPbLNL1U8TOI5,3lcCZPZzjX1Mrz-RAg3bf,1,WORD,Basen,0,Basen,polski,SWIMMING-POOL,,,,JB
301,684,2067,BphMADAacZ3hMWoq4-53Q,W5TeprJ-cKYHsiH70nREX,1,WORD,Ziam,0,Zjeżdżalnia ,polski,SLIDE,,,,AS(AW)
